wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val,truth-dt,truth-val
2/1/2019 0:01,2,2/1/2019 0:01,473,2/1/2019 0:01,8174.5,2019-02-01 00:01:00,1
2/1/2019 0:11,2,2/1/2019 0:11,475,2/1/2019 0:11,8194.51,2019-02-01 00:11:00,1
2/1/2019 0:21,2,2/1/2019 0:21,471,2/1/2019 0:21,7758.51,2019-02-01 00:21:00,1
2/1/2019 0:31,2,2/1/2019 0:31,482,2/1/2019 0:31,7944.94,2019-02-01 00:31:00,1
2/1/2019 0:41,2,2/1/2019 0:41,475,2/1/2019 0:41,7874.9,2019-02-01 00:41:00,1
2/1/2019 0:51,2,2/1/2019 0:51,472,2/1/2019 0:51,7790.9,2019-02-01 00:51:00,1
2/1/2019 1:01,3,2/1/2019 1:01,465,2/1/2019 1:01,7781.1,2019-02-01 01:01:00,1
2/1/2019 1:11,2,2/1/2019 1:11,459,2/1/2019 1:11,7300.67,2019-02-01 01:11:00,1
2/1/2019 1:21,2,2/1/2019 1:21,454,2/1/2019 1:21,7699.5,2019-02-01 01:21:00,1
2/1/2019 1:31,2,2/1/2019 1:31,453,2/1/2019 1:31,7761.27,2019-02-01 01:31:00,1
2/1/2019 1:41,2,2/1/2019 1:41,452,2/1/2019 1:41,7654.82,2019-02-01 01:41:00,1
2/1/2019 1:51,2,2/1/2019 1:51,446,2/1/2019 1:51,7705.1,2019-02-01 01:51:00,1
2/1/2019 2:01,2,2/1/2019 2:01,448,2/1/2019 2:01,7910.1,2019-02-01 02:01:00,1
2/1/2019 2:11,2,2/1/2019 2:11,437,2/1/2019 2:11,8423.8,2019-02-01 02:11:00,1
2/1/2019 2:21,2,2/1/2019 2:21,442,2/1/2019 2:21,8619.08,2019-02-01 02:21:00,1
2/1/2019 2:31,2,2/1/2019 2:31,433,2/1/2019 2:31,8312.5,2019-02-01 02:31:00,1
2/1/2019 2:41,2,2/1/2019 2:41,433,2/1/2019 2:41,8142.49,2019-02-01 02:41:00,1
2/1/2019 2:51,2,2/1/2019 2:51,425,2/1/2019 2:51,7802.44,2019-02-01 02:51:00,1
2/1/2019 3:01,2,2/1/2019 3:01,426,2/1/2019 3:01,7517.3,2019-02-01 03:01:00,1
2/1/2019 3:11,2,2/1/2019 3:11,420,2/1/2019 3:11,8427.3,2019-02-01 03:11:00,1
2/1/2019 3:21,2,2/1/2019 3:21,427,2/1/2019 3:21,7804.2,2019-02-01 03:21:00,1
2/1/2019 3:31,2,2/1/2019 3:31,419,2/1/2019 3:31,8091.6,2019-02-01 03:31:00,1
2/1/2019 3:41,2,2/1/2019 3:41,418,2/1/2019 3:41,7478.8,2019-02-01 03:41:00,1
2/1/2019 3:51,2,2/1/2019 3:51,415,2/1/2019 3:51,7916.4,2019-02-01 03:51:00,1
2/1/2019 4:01,2,2/1/2019 4:01,424,2/1/2019 4:01,7889.32,2019-02-01 04:01:00,1
2/1/2019 4:11,2,2/1/2019 4:11,423,2/1/2019 4:11,8317.93,2019-02-01 04:11:00,1
2/1/2019 4:21,2,2/1/2019 4:21,417,2/1/2019 4:21,8206.5,2019-02-01 04:21:00,1
2/1/2019 4:31,1,2/1/2019 4:31,417,2/1/2019 4:31,8159.3,2019-02-01 04:31:00,1
2/1/2019 4:41,1,2/1/2019 4:41,419,2/1/2019 4:41,7791.4,2019-02-01 04:41:00,1
2/1/2019 4:51,1,2/1/2019 4:51,416,2/1/2019 4:51,7565.7,2019-02-01 04:51:00,1
2/1/2019 5:01,1,2/1/2019 5:01,418,2/1/2019 5:01,7800.79,2019-02-01 05:01:00,1
2/1/2019 5:11,1,2/1/2019 5:11,414,2/1/2019 5:11,7417.4,2019-02-01 05:11:00,1
2/1/2019 5:21,1,2/1/2019 5:21,421,2/1/2019 5:21,8124.0,2019-02-01 05:21:00,1
2/1/2019 5:31,1,2/1/2019 5:31,416,2/1/2019 5:31,7818.4,2019-02-01 05:31:00,1
2/1/2019 5:41,2,2/1/2019 5:41,419,2/1/2019 5:41,7450.52,2019-02-01 05:41:00,1
2/1/2019 5:51,2,2/1/2019 5:51,420,2/1/2019 5:51,7756.8,2019-02-01 05:51:00,1
2/1/2019 6:01,2,2/1/2019 6:01,424,2/1/2019 6:01,7852.42,2019-02-01 06:01:00,1
2/1/2019 6:11,2,2/1/2019 6:11,427,2/1/2019 6:11,7834.01,2019-02-01 06:11:00,1
2/1/2019 6:21,2,2/1/2019 6:21,426,2/1/2019 6:21,7876.03,2019-02-01 06:21:00,1
2/1/2019 6:31,3,2/1/2019 6:31,435,2/1/2019 6:31,8271.79,2019-02-01 06:31:00,1
2/1/2019 6:41,2,2/1/2019 6:41,438,2/1/2019 6:41,8135.7,2019-02-01 06:41:00,1
2/1/2019 6:51,2,2/1/2019 6:51,442,2/1/2019 6:51,7894.0,2019-02-01 06:51:00,1
2/1/2019 7:01,4,2/1/2019 7:01,441,2/1/2019 7:01,8313.23,2019-02-01 07:01:00,1
2/1/2019 7:11,4,2/1/2019 7:11,443,2/1/2019 7:11,9322.55,2019-02-01 07:11:00,1
2/1/2019 7:21,5,2/1/2019 7:21,449,2/1/2019 7:21,8917.92,2019-02-01 07:21:00,1
2/1/2019 7:31,7,2/1/2019 7:31,446,2/1/2019 7:31,8897.32,2019-02-01 07:31:00,1
2/1/2019 7:41,9,2/1/2019 7:41,458,2/1/2019 7:41,9582.14,2019-02-01 07:41:00,1
2/1/2019 7:51,9,2/1/2019 7:51,448,2/1/2019 7:51,10382.1,2019-02-01 07:51:00,1
2/1/2019 8:01,10,2/1/2019 8:01,458,2/1/2019 8:01,10599.21,2019-02-01 08:01:00,1
2/1/2019 8:11,13,2/1/2019 8:11,468,2/1/2019 8:11,10160.7,2019-02-01 08:11:00,1
2/1/2019 8:21,16,2/1/2019 8:21,475,2/1/2019 8:21,8434.9,2019-02-01 08:21:00,1
2/1/2019 8:31,19,2/1/2019 8:31,544,2/1/2019 8:31,11779.8,2019-02-01 08:31:00,1
2/1/2019 8:41,16,2/1/2019 8:41,538,2/1/2019 8:41,11978.5,2019-02-01 08:41:00,1
2/1/2019 8:51,15,2/1/2019 8:51,572,2/1/2019 8:51,15612.5,2019-02-01 08:51:00,1
2/1/2019 9:01,17,2/1/2019 9:01,594,2/1/2019 9:01,18024.87,2019-02-01 09:01:00,0
